Human Marker Symbol,Human Entrez Gene ID,Mouse Marker Symbol,MGI Marker Accession ID
ALPG,251,Alpi,  MGI:1924018
ALPG,251,Alppl2,  MGI:108009
ALPI,248,Akp3,  MGI:87984
ALPI,248,Alpi,  MGI:1924018
ALPI,248,Alppl2,  MGI:108009
ALPK1,80216,Alpk1,  MGI:1918731
ALPK2,115701,Alpk2,  MGI:2449492
ALPK3,57538,Alpk3,  MGI:2151224
ALPL,249,Alpl,  MGI:87983
ALS2,57679,Als2,  MGI:1921268
ALS2CL,259173,Als2cl,  MGI:2447532
ALX1,8092,Alx1,  MGI:104621
ALX3,257,Alx3,  MGI:1277097
ALX4,60529,Alx4,  MGI:108359
ALYREF,10189,Alyref,  MGI:1341044
AMACR,23600,Amacr,  MGI:1098273
AMBN,258,Ambn,  MGI:104655
AMBP,259,Ambp,  MGI:88002
AMBRA1,55626,Ambra1,  MGI:2443564
AMD1,262,Amd1,  MGI:88004
AMDHD1,144193,Amdhd1,  MGI:1919011
AMDHD2,51005,Amdhd2,  MGI:2443978
AMELX,265,Amelx,  MGI:88005
AMER1,139285,Amer1,  MGI:1919595
AMER2,219287,Amer2,  MGI:1919375
AMER3,205147,Amer3,  MGI:3026939
AMFR,267,Amfr,  MGI:1345634
AMH,268,Amh,  MGI:88006
AMHR2,269,Amhr2,  MGI:105062
AMIGO1,57463,Amigo1,  MGI:2653612
AMIGO2,347902,Amigo2,  MGI:2145995
AMIGO3,386724,Amigo3,  MGI:2444854
AMMECR1,9949,Ammecr1,  MGI:1860206
AMMECR1L,83607,Ammecr1l,  MGI:2442711
AMN,81693,Amn,  MGI:1934943
AMN1,196394,Amn1,  MGI:2442933
AMOT,154796,Amot,  MGI:108440
AMOTL1,154810,Amotl1,  MGI:1922973
AMOTL2,51421,Amotl2,  MGI:1929286
AMPD1,270,Ampd1,  MGI:88015
AMPD2,271,Ampd2,  MGI:88016
AMPD3,272,Ampd3,  MGI:1096344
AMPH,273,Amph,  MGI:103574
AMT,275,Amt,  MGI:3646700
AMTN,401138,Amtn,  MGI:1918671
AMY1A,276,Amy1,  MGI:88019
AMY1A,276,Amy2a1,  MGI:104548
AMY1A,276,Amy2a2,  MGI:3711220
AMY1A,276,Amy2a3,  MGI:3714985
AMY1A,276,Amy2a4,  MGI:3711258
AMY1A,276,Amy2a5,  MGI:88020
AMY1B,277,Amy1,  MGI:88019
AMY1B,277,Amy2a1,  MGI:104548
AMY1B,277,Amy2a2,  MGI:3711220
AMY1B,277,Amy2a3,  MGI:3714985
AMY1B,277,Amy2a4,  MGI:3711258
AMY1B,277,Amy2a5,  MGI:88020
AMY1C,278,Amy1,  MGI:88019
AMY1C,278,Amy2a1,  MGI:104548
AMY1C,278,Amy2a2,  MGI:3711220
AMY1C,278,Amy2a3,  MGI:3714985
AMY1C,278,Amy2a4,  MGI:3711258
AMY1C,278,Amy2a5,  MGI:88020
AMY2A,279,Amy1,  MGI:88019
AMY2A,279,Amy2a1,  MGI:104548
AMY2A,279,Amy2a2,  MGI:3711220
AMY2A,279,Amy2a3,  MGI:3714985
AMY2A,279,Amy2a4,  MGI:3711258
AMY2A,279,Amy2a5,  MGI:88020
AMY2B,280,Amy1,  MGI:88019
AMY2B,280,Amy2a1,  MGI:104548
AMY2B,280,Amy2a2,  MGI:3711220
AMY2B,280,Amy2a3,  MGI:3714985
AMY2B,280,Amy2a4,  MGI:3711258
AMY2B,280,Amy2a5,  MGI:88020
AMZ1,155185,Amz1,  MGI:2442258
AMZ2,51321,Amz2,  MGI:104837
ANAPC1,64682,Anapc1,  MGI:103097
ANAPC10,10393,Anapc10,  MGI:1916249
ANAPC11,51529,Anapc11,  MGI:1913406
ANAPC13,25847,Anapc13,  MGI:1916260
ANAPC15,25906,Anapc15,  MGI:1922680
ANAPC16,119504,Anapc16,  MGI:1289325
ANAPC2,29882,Anapc2,  MGI:2139135
ANAPC4,29945,Anapc4,  MGI:1098673
ANAPC5,51433,Anapc5,  MGI:1929722
ANAPC7,51434,Anapc7,  MGI:1929711
ANG,283,Ang,  MGI:88022
ANGEL1,23357,Angel1,  MGI:1915987
ANGEL2,90806,Angel2,  MGI:1196310
ANGPT1,284,Angpt1,  MGI:108448
ANGPT2,285,Angpt2,  MGI:1202890
ANGPT4,51378,Angpt4,  MGI:1336887
ANGPTL1,9068,Angptl1,  MGI:1919963
ANGPTL2,23452,Angptl2,  MGI:1347002
ANGPTL3,27329,Angptl3,  MGI:1353627
ANGPTL4,51129,Angptl4,  MGI:1888999
ANGPTL6,83854,Angptl6,  MGI:1917976
ANGPTL7,10218,Angptl7,  MGI:3605801
ANGPTL8,55908,Angptl8,  MGI:3643534
ANK1,286,Ank1,  MGI:88024
ANK2,287,Ank2,  MGI:88025
ANK3,288,Ank3,  MGI:88026
ANKAR,150709,Ankar,  MGI:2442559
ANKDD1A,348094,Ankdd1a,  MGI:2686319
ANKDD1B,728780,Ankdd1b,  MGI:2444730
ANKEF1,63926,Ankef1,  MGI:2441685
ANKFN1,162282,Ankfn1,  MGI:2686021
ANKFY1,51479,Ankfy1,  MGI:1337008
ANKH,56172,Ank,  MGI:3045421
ANKHD1,54882,Ankhd1,  MGI:1921733
ANKIB1,54467,Ankib1,  MGI:1918047
ANKK1,255239,Ankk1,  MGI:3045301
ANKLE1,126549,Ankle1,  MGI:1918775
ANKLE2,23141,Ankle2,  MGI:1261856
ANKMY1,51281,Ankmy1,  MGI:3045261
ANKMY2,57037,Ankmy2,  MGI:2144755
ANKRA2,57763,Ankra2,  MGI:1915808
ANKRD1,27063,Ankrd1,  MGI:1097717
ANKRD10,55608,Ankrd10,  MGI:1921840
ANKRD11,29123,Ankrd11,  MGI:1924337
ANKRD12,23253,Ankrd12,  MGI:1914357
ANKRD13A,88455,Ankrd13a,  MGI:1915670
ANKRD13B,124930,Ankrd13b,  MGI:2144501
ANKRD13C,81573,Ankrd13c,  MGI:2139746
ANKRD13D,338692,Ankrd13d,  MGI:1915673
ANKRD16,54522,Ankrd16,  MGI:2444796
ANKRD17,26057,Ankrd17,  MGI:1932101
ANKRD2,26287,Ankrd2,  MGI:1861447
ANKRD22,118932,Ankrd22,  MGI:1277101
ANKRD23,200539,Ankrd23,  MGI:1925571
ANKRD24,170961,Ankrd24,  MGI:1890394
ANKRD26,22852,Ankrd26,  MGI:1917887
ANKRD27,84079,Ankrd27,  MGI:2444103
ANKRD28,23243,Ankrd28,  MGI:2145661
ANKRD29,147463,Ankrd29,  MGI:2687055
ANKRD31,256006,Ankrd31,  MGI:5006716
ANKRD33,341405,Ankrd33,  MGI:2443398
ANKRD33B,651746,Ankrd33b,  MGI:1917904
ANKRD34A,284615,Ankrd34a,  MGI:3617846
ANKRD34B,340120,Ankrd34b,  MGI:2443245
ANKRD34C,390616,Ankrd34c,  MGI:2685617
ANKRD35,148741,Ankrd35,  MGI:2442590
ANKRD37,353322,Ankrd37,  MGI:3603344
ANKRD39,51239,Ankrd39,  MGI:1914816
ANKRD40,91369,Ankrd40,  MGI:1918702
ANKRD40CL,55018,Gm21885,  MGI:5434049
ANKRD42,338699,Ankrd42,  MGI:1921095
ANKRD44,91526,Ankrd44,  MGI:3045243
ANKRD45,339416,Ankrd45,  MGI:1921094
ANKRD46,157567,Ankrd46,  MGI:1916089
ANKRD49,54851,Ankrd49,  MGI:1930842
ANKRD50,57182,Ankrd50,  MGI:2139777
ANKRD52,283373,Ankrd52,  MGI:2444029
ANKRD53,79998,Ankrd53,  MGI:1922555
ANKRD54,129138,Ankrd54,  MGI:2444209
ANKRD55,79722,Ankrd55,  MGI:1924568
ANKRD6,22881,Ankrd6,  MGI:2154278
ANKRD60,140731,Ankrd60,  MGI:1917315
ANKRD61,100310846,Ankrd61,  MGI:1913979
ANKRD63,100131244,Ankrd63,  MGI:2686183
ANKRD65,441869,Ankrd65,  MGI:2685285
ANKRD66,100287718,Ankrd66,  MGI:1925106
ANKRD7,56311,Ankrd7,  MGI:1922446
ANKRD9,122416,Ankrd9,  MGI:1921501
ANKS1A,23294,Anks1,  MGI:2446180
ANKS1B,56899,Anks1b,  MGI:1924781
ANKS3,124401,Anks3,  MGI:1919865
ANKS4B,257629,Anks4b,  MGI:1919324
ANKS6,203286,Anks6,  MGI:1922941
ANKUB1,389161,Ankub1,  MGI:2685256
ANKZF1,55139,Ankzf1,  MGI:1098746
ANLN,54443,Anln,  MGI:1920174
ANO1,55107,Ano1,  MGI:2142149
ANO10,55129,Ano10,  MGI:2143103
ANO2,57101,Ano2,  MGI:2387214
ANO3,63982,Ano3,  MGI:3613666
ANO4,121601,Ano4,  MGI:2443344
ANO5,203859,Ano5,  MGI:3576659
ANO6,196527,Ano6,  MGI:2145890
ANO7,50636,Ano7,  MGI:3052714
ANO8,57719,Ano8,  MGI:2687327
ANO9,338440,Ano9,  MGI:1918595
ANP32A,8125,Anp32a,  MGI:108447
ANP32B,10541,Anp32b,  MGI:1914878
ANP32E,81611,Anp32e,  MGI:1913721
ANPEP,290,Anpep,  MGI:5000466
ANTKMT,65990,Antkmt,  MGI:2384888
ANTXR1,84168,Antxr1,  MGI:1916788
ANTXR2,118429,Antxr2,  MGI:1919164
ANTXRL,195977,Antxrl,  MGI:1925726
ANXA1,301,Anxa1,  MGI:96819
ANXA10,11199,Anxa10,  MGI:1347090
ANXA11,311,Anxa11,  MGI:108481
ANXA13,312,Anxa13,  MGI:1917037
ANXA2,302,Anxa2,  MGI:88246
ANXA3,306,Anxa3,  MGI:1201378
ANXA4,307,Anxa4,  MGI:88030
ANXA5,308,Anxa5,  MGI:106008
ANXA6,309,Anxa6,  MGI:88255
ANXA7,310,Anxa7,  MGI:88031
ANXA8,653145,Anxa8,  MGI:1201374
ANXA8L1,728113,Anxa8,  MGI:1201374
ANXA9,8416,Anxa9,  MGI:1923711
AOAH,313,Aoah,  MGI:1350928
AOC1,26,Aoc1,  MGI:1923757
AOC2,314,Aoc2,  MGI:2668431
AOC3,8639,Aoc3,  MGI:1306797
AOPEP,84909,Aopep,  MGI:1919311
AOX1,316,Aox1,  MGI:88035
AOX3P,107126360,Aox3,  MGI:1918974
AP1AR,55435,Ap1ar,  MGI:2384822
AP1B1,162,Ap1b1,  MGI:1096368
AP1G1,164,Ap1g1,  MGI:101919
AP1G2,8906,Ap1g2,  MGI:1328307
AP1M1,8907,Ap1m1,  MGI:102776
AP1M2,10053,Ap1m2,  MGI:1336974
AP1S1,1174,Ap1s1,  MGI:1098244
AP1S2,8905,Ap1s2,  MGI:1889383
AP1S3,130340,Ap1s3,  MGI:1891304
AP2A1,160,Ap2a1,  MGI:101921
AP2A2,161,Ap2a2,  MGI:101920
AP2B1,163,Ap2b1,  MGI:1919020
AP2M1,1173,Ap2m1,  MGI:1298405
AP2S1,1175,Ap2s1,  MGI:2141861
AP3B1,8546,Ap3b1,  MGI:1333879
AP3B2,8120,Ap3b2,  MGI:1100869
AP3D1,8943,Ap3d1,  MGI:107734
AP3M1,26985,Ap3m1,  MGI:1929212
AP3M2,10947,Ap3m2,  MGI:1929214
AP3S1,1176,Ap3s1,  MGI:1337062
AP3S2,10239,Ap3s2,  MGI:1337060
AP4B1,10717,Ap4b1,  MGI:1337130
AP4E1,23431,Ap4e1,  MGI:1336993
AP4M1,9179,Ap4m1,  MGI:1337063
AP4S1,11154,Ap4s1,  MGI:1337065
AP5B1,91056,Ap5b1,  MGI:2685808
AP5M1,55745,Ap5m1,  MGI:1921635
AP5S1,55317,Ap5s1,  MGI:1916846
AP5Z1,9907,Ap5z1,  MGI:1924908
APAF1,317,Apaf1,  MGI:1306796
APBA1,320,Apba1,  MGI:1860297
APBA2,321,Apba2,  MGI:1261791
APBA3,9546,Apba3,  MGI:1888527
APBB1,322,Apbb1,  MGI:107765
APBB1IP,54518,Apbb1ip,  MGI:1861354
APBB2,323,Apbb2,  MGI:108405
APBB3,10307,Apbb3,  MGI:108404
APC,324,Apc,  MGI:88039
APC2,10297,Apc2,  MGI:1346052
APCDD1,147495,Apcdd1,  MGI:3513977
APCS,325,Apcs,  MGI:98229
APEH,327,Apeh,  MGI:88041
APELA,100506013,Apela,  MGI:3642370
APEX1,328,Apex1,  MGI:88042
APEX2,27301,Apex2,  MGI:1924872
APH1A,51107,Aph1a,  MGI:2385110
APH1B,83464,Aph1b,  MGI:3522097
API5,8539,Api5,  MGI:1888993
APIP,51074,Apip,  MGI:1926788
APLF,200558,Aplf,  MGI:1919353
APLN,8862,Apln,  MGI:1353624
APLNR,187,Aplnr,  MGI:1346086
APLP1,333,Aplp1,  MGI:88046
APLP2,334,Aplp2,  MGI:88047
APMAP,57136,Apmap,  MGI:1919131
APOA1,335,Apoa1,  MGI:88049
APOA2,336,Apoa2,  MGI:88050
APOA4,337,Apoa4,  MGI:88051
APOA5,116519,Apoa5,  MGI:1913363
APOB,338,Apob,  MGI:88052
APOBEC1,339,Apobec1,  MGI:103298
APOBEC2,10930,Apobec2,  MGI:1343178
APOBEC3B,9582,Apobec3,  MGI:1933111
APOBEC4,403314,Apobec4,  MGI:1918531
APOBR,55911,Apobr,  MGI:2176230
APOC1,341,Apoc1,  MGI:88053
APOC2,344,Apoc2,  MGI:88054
APOC3,345,Apoc3,  MGI:88055
APOC4,346,Apoc4,  MGI:87878
APOD,347,Apod,  MGI:88056
APOE,348,Apoe,  MGI:88057
APOF,319,Apof,  MGI:104539
APOH,350,Apoh,  MGI:88058
APOL2,23780,Apol8,  MGI:2444921
APOL6,80830,Apol6,  MGI:1919189
APOLD1,81575,Apold1,  MGI:2685921
APOM,55937,Apom,  MGI:1930124
APONP,100419033,Apon,  MGI:88931
APOO,79135,Apoo,  MGI:1915566
APOOL,139322,Apool,  MGI:1915367
APP,351,App,  MGI:88059
APPBP2,10513,Appbp2,  MGI:1914134
APPL1,26060,Appl1,  MGI:1920243
APPL2,55198,Appl2,  MGI:2384914
APRT,353,Aprt,  MGI:88061
APTX,54840,Aptx,  MGI:1913658
AQP1,358,Aqp1,  MGI:103201
AQP11,282679,Aqp11,  MGI:1913583
AQP12A,375318,Aqp12,  MGI:2664636
AQP12B,653437,Aqp12,  MGI:2664636
AQP2,359,Aqp2,  MGI:1096865
AQP3,360,Aqp3,  MGI:1333777
AQP4,361,Aqp4,  MGI:107387
AQP5,362,Aqp5,  MGI:106215
AQP6,363,Aqp6,  MGI:1341204
AQP7,364,Aqp7,  MGI:1314647
AQP8,343,Aqp8,  MGI:1195271
AQP9,366,Aqp9,  MGI:1891066
AQR,9716,Aqr,  MGI:1276102
AR,367,Ar,  MGI:88064
ARAF,369,Araf,  MGI:88065
ARAP1,116985,Arap1,  MGI:1916960
ARAP2,116984,Arap2,  MGI:2684416
ARAP3,64411,Arap3,  MGI:2147274
ARC,23237,Arc,  MGI:88067
ARCN1,372,Arcn1,  MGI:2387591
AREG,374,Areg,  MGI:88068
AREL1,9870,Arel1,  MGI:1915747
ARF1,375,Arf1,  MGI:99431
ARF2P,108489980,Arf2,  MGI:99595
ARF3,377,Arf3,  MGI:99432
ARF4,378,Arf4,  MGI:99433
ARF5,381,Arf5,  MGI:99434
ARF6,382,Arf6,  MGI:99435
ARFGAP1,55738,Arfgap1,  MGI:2183559
ARFGAP2,84364,Arfgap2,  MGI:1924288
ARFGAP3,26286,Arfgap3,  MGI:1913501
ARFGEF1,10565,Arfgef1,  MGI:2442988
ARFGEF2,10564,Arfgef2,  MGI:2139354
ARFGEF3,57221,Arfgef3,  MGI:106387
ARFIP1,27236,Arfip1,  MGI:1277120
ARFIP2,23647,Arfip2,  MGI:1924182
ARFRP1,10139,Arfrp1,  MGI:1923938
ARG1,383,Arg1,  MGI:88070
ARG2,384,Arg2,  MGI:1330806
ARGLU1,55082,Arglu1,  MGI:2442985
ARHGAP1,392,Arhgap1,  MGI:2445003
ARHGAP10,79658,Arhgap10,  MGI:1925764
ARHGAP11A,9824,Arhgap11a,  MGI:2444300
ARHGAP12,94134,Arhgap12,  MGI:1922665
ARHGAP15,55843,Arhgap15,  MGI:1923367
ARHGAP17,55114,Arhgap17,  MGI:1917747
ARHGAP18,93663,Arhgap18,  MGI:1921160
ARHGAP19,84986,Arhgap19,  MGI:1918335
ARHGAP20,57569,Arhgap20,  MGI:2445175
ARHGAP21,57584,Arhgap21,  MGI:1918685
ARHGAP22,58504,Arhgap22,  MGI:2443418
ARHGAP23,57636,Arhgap23,  MGI:3697726
ARHGAP24,83478,Arhgap24,  MGI:1922647
ARHGAP25,9938,Arhgap25,  MGI:2443687
ARHGAP26,23092,Arhgap26,  MGI:1918552
ARHGAP27,201176,Arhgap27,  MGI:1916903
ARHGAP28,79822,Arhgap28,  MGI:2147003
ARHGAP29,9411,Arhgap29,  MGI:2443818
ARHGAP30,257106,Arhgap30,  MGI:2684948
ARHGAP31,57514,Arhgap31,  MGI:1333857
ARHGAP32,9743,Arhgap32,  MGI:2450166
ARHGAP33,115703,Arhgap33,  MGI:2673998
ARHGAP35,2909,Arhgap35,  MGI:1929494
ARHGAP36,158763,Arhgap36,  MGI:1922654
ARHGAP39,80728,Arhgap39,  MGI:107858
ARHGAP4,393,Arhgap4,  MGI:2159577
ARHGAP40,343578,Arhgap40,  MGI:3649852
ARHGAP42,143872,Arhgap42,  MGI:1918794
ARHGAP44,9912,Arhgap44,  MGI:2144423
ARHGAP45,23526,Arhgap45,  MGI:1917969
ARHGAP5,394,Arhgap5,  MGI:1332637
ARHGAP6,395,Arhgap6,  MGI:1196332
ARHGAP8,23779,Arhgap8,  MGI:1920417
ARHGAP9,64333,Arhgap9,  MGI:2143764
ARHGDIA,396,Arhgdia,  MGI:2178103
ARHGDIB,397,Arhgdib,  MGI:101940
ARHGDIG,398,Arhgdig,  MGI:108430
ARHGEF1,9138,Arhgef1,  MGI:1353510
ARHGEF10,9639,Arhgef10,  MGI:2444453
ARHGEF10L,55160,Arhgef10l,  MGI:1920004
ARHGEF11,9826,Arhgef11,  MGI:2441869
ARHGEF12,23365,Arhgef12,  MGI:1916882
ARHGEF15,22899,Arhgef15,  MGI:3045246
ARHGEF16,27237,Arhgef16,  MGI:2446219
ARHGEF17,9828,Arhgef17,  MGI:2673002
ARHGEF18,23370,Arhgef18,  MGI:2142567
ARHGEF19,128272,Arhgef19,  MGI:1925912
ARHGEF2,9181,Arhgef2,  MGI:103264
ARHGEF25,115557,Arhgef25,  MGI:1277173
ARHGEF26,26084,Arhgef26,  MGI:1918053
ARHGEF28,64283,Arhgef28,  MGI:1346016
ARHGEF3,50650,Arhgef3,  MGI:1918954
ARHGEF33,100271715,Arhgef33,  MGI:2685787
ARHGEF37,389337,Arhgef37,  MGI:3045339
ARHGEF38,54848,Arhgef38,  MGI:1924919
ARHGEF39,84904,Arhgef39,  MGI:3036286
ARHGEF4,50649,Arhgef4,  MGI:2442507
ARHGEF40,55701,Arhgef40,  MGI:2685515
ARHGEF5,7984,Arhgef5,  MGI:1858952
ARHGEF6,9459,Arhgef6,  MGI:1920591
ARHGEF7,8874,Arhgef7,  MGI:1860493
ARHGEF9,23229,Arhgef9,  MGI:2442233
ARID1A,8289,Arid1a,  MGI:1935147
ARID1B,57492,Arid1b,  MGI:1926129
ARID2,196528,Arid2,  MGI:1924294
ARID3A,1820,Arid3a,  MGI:1328360
ARID3B,10620,Arid3b,  MGI:1930768
ARID3C,138715,Arid3c,  MGI:3650624
ARID4A,5926,Arid4a,  MGI:2444354
ARID4B,51742,Arid4b,  MGI:2137512
ARID5A,10865,Arid5a,  MGI:2443039
ARID5B,84159,Arid5b,  MGI:2175912
ARIH1,25820,Arih1,  MGI:1344363
ARIH2,10425,Arih2,  MGI:1344361
ARIH2OS,646450,Arih2os,  MGI:3642291
ARL1,400,Arl1,  MGI:99436
ARL10,285598,Arl10,  MGI:1930788
ARL11,115761,Arl11,  MGI:2444054
ARL13A,392509,Arl13a,  MGI:1921698
ARL13B,200894,Arl13b,  MGI:1915396
ARL14,80117,Arl14,  MGI:1918869
ARL14EP,120534,Arl14ep,  MGI:1926020
ARL14EPL,644100,Arl14epl,  MGI:2685795
ARL15,54622,Arl15,  MGI:2442308
ARL16,339231,Arl16,  MGI:1917567
ARL2,402,Arl2,  MGI:1928393
ARL2BP,23568,Arl2bp,  MGI:1349429
ARL3,403,Arl3,  MGI:1929699
ARL4A,10124,Arl4a,  MGI:99437
ARL4C,10123,Arl4c,  MGI:2445172
ARL4D,379,Arl4d,  MGI:1933155
ARL5A,26225,Arl5a,  MGI:1922673
ARL5B,221079,Arl5b,  MGI:1923119
ARL5C,390790,Arl5c,  MGI:3028577
ARL6,84100,Arl6,  MGI:1927136
ARL6IP1,23204,Arl6ip1,  MGI:1858943
ARL6IP4,51329,Arl6ip4,  MGI:1929500
ARL6IP5,10550,Arl6ip5,  MGI:1929501
ARL6IP6,151188,Arl6ip6,  MGI:1929507
ARL8A,127829,Arl8a,  MGI:1915974
ARL8B,55207,Arl8b,  MGI:1914416
ARL9,132946,Arl9,  MGI:1915496
ARMC1,55156,Armc1,  MGI:1921502
ARMC10,83787,Armc10,  MGI:1914461
ARMC12,221481,Armc12,  MGI:1914895
ARMC2,84071,Armc2,  MGI:1916449
ARMC3,219681,Armc3,  MGI:1918132
ARMC4,55130,Armc4,  MGI:1922184
ARMC5,79798,Armc5,  MGI:2384586
ARMC6,93436,Armc6,  MGI:1924063
ARMC7,79637,Armc7,  MGI:2679719
ARMC8,25852,Armc8,  MGI:1921375
ARMC9,80210,Armc9,  MGI:1926045
ARMCX1,51309,Armcx1,  MGI:1925498
ARMCX2,9823,Armcx2,  MGI:1914666
ARMCX3,51566,Armcx3,  MGI:1918953
ARMCX4,100131755,Armcx4,  MGI:2147887
ARMCX5,64860,Armcx5,  MGI:2148026
ARMCX6,54470,Armcx6,  MGI:2147993
ARMCX7P,653354,Gm16397,  MGI:3648067
ARMH1,339541,Armh1,  MGI:2686507
ARMH2,101928603,Armh2,  MGI:1916676
ARMH3,79591,Armh3,  MGI:1918867
ARMH4,145407,Armh4,  MGI:1914669
ARMT1,79624,Armt1,  MGI:1920669
ARNT,405,Arnt,  MGI:88071
ARNT2,9915,Arnt2,  MGI:107188
ARNTL,406,Arntl,  MGI:1096381
ARNTL2,56938,Arntl2,  MGI:2684845
ARPC1A,10552,Arpc1a,  MGI:1928896
ARPC1B,10095,Arpc1b,  MGI:1343142
ARPC2,10109,Arpc2,  MGI:1923959
ARPC3,10094,Arpc3,  MGI:1928375
ARPC4,10093,Arpc4,  MGI:1915339
ARPC5,10092,Arpc5,  MGI:1915021
ARPC5L,81873,Arpc5l,  MGI:1921442
ARPIN,348110,Arpin,  MGI:1917670
ARPP19,10776,Arpp19,  MGI:1891691
ARPP21,10777,Arpp21,  MGI:107562
ARR3,407,Arr3,  MGI:2159617
ARRB1,408,Arrb1,  MGI:99473
ARRB2,409,Arrb2,  MGI:99474
ARRDC1,92714,Arrdc1,  MGI:2446136
ARRDC2,27106,Arrdc2,  MGI:1918057
ARRDC3,57561,Arrdc3,  MGI:2145242
ARRDC4,91947,Arrdc4,  MGI:1913662
ARRDC5,645432,Arrdc5,  MGI:1924170
ARSA,410,Arsa,  MGI:88077
ARSB,411,Arsb,  MGI:88075
ARSG,22901,Arsg,  MGI:1921258
ARSI,340075,Arsi,  MGI:2670959
ARSJ,79642,Arsj,  MGI:2443513
ARSK,153642,Arsk,  MGI:1924291
ART1,417,Art1,  MGI:107511
ART2BP,106481723,Art2b,  MGI:107545
ART3,419,Art3,  MGI:1202729
ART4,420,Art4,  MGI:1202710
ART5,116969,Art5,  MGI:107948
ARTN,9048,Artn,  MGI:1333791
ARV1,64801,Arv1,  MGI:1916115
ARVCF,421,Arvcf,  MGI:109620
ARX,170302,Arx,  MGI:1097716
AS3MT,57412,As3mt,  MGI:1929882
ASAH1,427,Asah1,  MGI:1277124
ASAH2,56624,Asah2,  MGI:1859310
ASAP1,50807,Asap1,  MGI:1342335
ASAP2,8853,Asap2,  MGI:2685438
ASAP3,55616,Asap3,  MGI:2684986
ASB1,51665,Asb1,  MGI:1929735
ASB10,136371,Asb10,  MGI:2152836
ASB11,140456,Asb11,  MGI:1916104
ASB12,142689,Asb12,  MGI:1917642
ASB13,79754,Asb13,  MGI:2145525
ASB14,142686,Asb14,  MGI:2655107
ASB15,142685,Asb15,  MGI:1926160
ASB16,92591,Asb16,  MGI:2654437
ASB17,127247,Asb17,  MGI:1914022
ASB18,401036,Asb18,  MGI:2655109
ASB2,51676,Asb2,  MGI:1929743
ASB3,51130,Asb3,  MGI:1929749
ASB4,51666,Asb4,  MGI:1929751
ASB5,140458,Asb5,  MGI:1923544
ASB6,140459,Asb6,  MGI:1919573
ASB7,140460,Asb7,  MGI:2152835
ASB8,140461,Asb8,  MGI:1925791
ASB9,140462,Asb9,  MGI:1916549
ASCC1,51008,Ascc1,  MGI:1916340
ASCC2,84164,Ascc2,  MGI:1922702
ASCC3,10973,Ascc3,  MGI:1925237
ASCL1,429,Ascl1,  MGI:96919
ASCL2,430,Ascl2,  MGI:96920
ASCL3,56676,Ascl3,  MGI:1928820
ASCL4,121549,Ascl4,  MGI:1914591
ASCL5,647219,Ascl5,  MGI:2685043
ASF1A,25842,Asf1a,  MGI:1913653
ASF1B,55723,Asf1b,  MGI:1914179
ASGR1,432,Asgr1,  MGI:88081
ASGR2,433,Asgr2,  MGI:88082
ASH1L,55870,Ash1l,  MGI:2183158
ASH2L,9070,Ash2l,  MGI:1344416
ASIC1,41,Asic1,  MGI:1194915
ASIC2,40,Asic2,  MGI:1100867
ASIC3,9311,Asic3,  MGI:2159339
ASIC4,55515,Asic4,  MGI:2652846
ASIC5,51802,Asic5,  MGI:1929259
ASIP,434,a,  MGI:87853
ASL,435,Asl,  MGI:88084
ASMT,438,Asmt,  MGI:96090
ASNS,440,Asns,  MGI:1350929
ASNSD1,54529,Asnsd1,  MGI:1917646
ASPA,443,Aspa,  MGI:87914
ASPDH,554235,Aspdh,  MGI:1915602
ASPG,374569,Aspg,  MGI:2144822
ASPH,444,Asph,  MGI:1914186
ASPHD1,253982,Asphd1,  MGI:2685014
ASPHD2,57168,Asphd2,  MGI:1920148
ASPM,259266,Aspm,  MGI:1334448
ASPN,54829,Aspn,  MGI:1913945
ASPRV1,151516,Asprv1,  MGI:1915105
ASPSCR1,79058,Aspscr1,  MGI:1916188
ASRGL1,80150,Asrgl1,  MGI:1913764
ASS1,445,Ass1,  MGI:88090
ASTE1,28990,Aste1,  MGI:1913845
ASTL,431705,Astl,  MGI:3046414
ASTN1,460,Astn1,  MGI:1098567
ASTN2,23245,Astn2,  MGI:1889277
ASXL1,171023,Asxl1,  MGI:2684063
ASXL2,55252,Asxl2,  MGI:1922552
ASXL3,80816,Asxl3,  MGI:2685175
ASZ1,136991,Asz1,  MGI:1921318
ATAD1,84896,Atad1,  MGI:1915229
ATAD2,29028,Atad2,  MGI:1917722
ATAD2B,54454,Atad2b,  MGI:2444798
ATAD3A,55210,Atad3a,  MGI:1919214
ATAD3B,83858,Atad3a,  MGI:1919214
ATAD3C,219293,Atad3a,  MGI:1919214
ATAD5,79915,Atad5,  MGI:2442925
ATAT1,79969,Atat1,  MGI:1913869
ATCAY,85300,Atcay,  MGI:2448730
ATE1,11101,Ate1,  MGI:1333870
ATF1,466,Atf1,  MGI:1298366
ATF2,1386,Atf2,  MGI:109349
ATF3,467,Atf3,  MGI:109384
ATF4,468,Atf4,  MGI:88096
ATF5,22809,Atf5,  MGI:2141857
ATF6,22926,Atf6,  MGI:1926157
ATF6B,1388,Atf6b,  MGI:105121
ATF7,11016,Atf7,  MGI:2443472
ATF7IP,55729,Atf7ip,  MGI:1858965
ATF7IP2,80063,Atf7ip2,  MGI:1922579
ATG10,83734,Atg10,  MGI:1914045
ATG101,60673,Atg101,  MGI:1915368
ATG12,9140,Atg12,  MGI:1914776
